# SampleCounter	Dev.DutyCycle.value	Controller.enabled	Controller.alfa	Controller.alfa_dot	Controller.alfa_int	Controller.x	Controller.x_dot	Controller.x_int
8619	-0.0520785	1	0.85957	-11.498	44.2861	-0.0909502	-0.0180995	-215.624
8620	-0.217461	1	1.05539	-0.0857296	45.3411	-0.0911086	-0.0158371	-215.713
8621	-0.241908	1	1.25966	2.67456	46.6003	-0.0917873	-0.0678733	-215.803
8622	-0.118052	1	1.44332	-7.65716	48.0432	-0.0921041	-0.0316742	-215.893
8623	-0.075005	1	1.10667	-18.1449	49.1493	-0.0924887	-0.0384615	-215.983
8624	-0.211566	1	1.04771	-10.0686	50.1966	-0.0929185	-0.0429864	-216.074
8625	-0.212452	1	1.00393	-5.80826	51.2	-0.0936425	-0.0723982	-216.165
8626	-0.0462358	1	0.750999	-14.1479	51.9505	-0.0941629	-0.0520362	-216.257
8627	-0.0174824	1	0.482403	-16.5236	52.4324	-0.094457	-0.0294118	-216.349
8628	-0.145888	1	0.365747	-10.1513	52.7976	-0.0945927	-0.0135747	-216.442
8629	-0.160805	1	0.351565	5.83309	53.1486	-0.0950226	-0.0429864	-216.535
8630	-0.00655147	1	0.214026	-1.54655	53.3621	-0.095905	-0.0882353	-216.628
8631	0.0569619	1	-0.449254	1.71781	52.9123	-0.0961312	-0.0226244	-216.722
8632	-0.0548917	1	-0.682544	4.25017	52.2293	-0.0959502	0.0180995	-216.816
8633	-0.0484537	1	-0.820675	12.4465	51.4081	-0.0958823	0.00678733	-216.91
8634	0.0682908	1	-0.668857	14.5229	50.7387	-0.0961086	-0.0226244	-217.004
8635	0.0449038	1	-0.480817	19.5872	50.2574	-0.0960181	0.00904977	-217.098
8636	-0.133257	1	-0.131781	29.6435	50.1251	-0.0957692	0.0248869	-217.191
8637	-0.165031	1	0.141825	33.9158	50.2664	-0.0961538	-0.0384615	-217.285
8638	-0.0542481	1	0.433315	26.884	50.6992	-0.0976697	-0.151584	-217.381
8639	-0.0266302	1	0.327029	9.56827	51.0257	-0.0977149	-0.00452489	-217.476
8640	-0.139198	1	0.057478	15.7005	51.0827	-0.0978507	-0.0135747	-217.572
8641	-0.140645	1	0.15215	7.52867	51.2344	-0.0982805	-0.0429864	-217.668
8642	-0.0373777	1	0.586393	-6.41515	51.8202	-0.0988009	-0.0520362	-217.765
8643	-0.0874264	1	0.99141	2.14103	52.8111	-0.0990271	-0.0226244	-217.862
8644	-0.246743	1	1.21985	4.06121	54.0304	-0.0992307	-0.020362	-217.959
8645	-0.277409	1	1.53492	1.68539	55.5648	-0.100068	-0.0837104	-218.057
8646	-0.16187	1	1.79357	-8.17843	57.3578	-0.100588	-0.0520362	-218.155
8647	-0.149002	1	1.77043	-20.5023	59.1277	-0.101222	-0.0633484	-218.254
8648	-0.292186	1	1.81325	-16.7461	60.9404	-0.102014	-0.0791855	-218.354
8649	-0.276802	1	1.70963	-23.4778	62.6494	-0.102964	-0.0950226	-218.455
8650	-0.0926486	1	1.2777	-32.3816	63.9265	-0.103846	-0.0882353	-218.556
8651	-0.0502959	1	0.892774	-37.1334	64.8186	-0.104661	-0.0814479	-218.659
8652	-0.18058	1	0.776285	-29.3091	65.5942	-0.105385	-0.0723982	-218.762
8653	-0.197915	1	0.82724	-17.8967	66.4208	-0.106425	-0.104072	-218.866
8654	-0.0570385	1	0.796054	-23.1164	67.2162	-0.107919	-0.149321	-218.972
8655	0.0572595	1	-0.371171	-20.32	66.8444	-0.108824	-0.0904977	-219.079
8656	-0.0245346	1	-0.849625	-23.1636	65.9941	-0.109072	-0.0248869	-219.185
8657	0.0111734	1	-1.3043	-12.0992	64.6891	-0.109072	0	-219.292
8658	0.150691	1	-1.46287	-0.962794	63.2256	-0.109932	-0.0859728	-219.4
8659	0.112369	1	-1.32001	24.3936	61.9049	-0.110339	-0.040724	-219.508
8660	-0.0950523	1	-0.799255	47.2061	61.1051	-0.110566	-0.0226244	-219.617
8661	-0.173064	1	-0.0996145	55.3544	61.0048	-0.110905	-0.0339366	-219.725
8662	-0.0578704	1	0.286396	34.6068	61.2906	-0.112104	-0.119909	-219.835
8663	-0.0352372	1	0.52082	-11.9889	61.8108	-0.112805	-0.0701357	-219.946
8664	-0.222973	1	1.08852	-15.4447	62.8987	-0.112964	-0.0158371	-220.057
8665	-0.192789	1	0.878813	-25.5364	63.7769	-0.113801	-0.0837104	-220.168
8666	0.00342316	1	0.292825	-30.1081	64.0691	-0.115701	-0.190045	-220.282
8667	0.140154	1	-0.824913	-54.2397	63.2436	-0.116357	-0.0656108	-220.396
8668	0.0171932	1	-0.943797	-51.7793	62.2991	-0.115995	0.0361991	-220.51
8669	-0.0630677	1	-0.711154	5.92909	61.5873	-0.116719	-0.0723982	-220.624
8670	0.0517353	1	-0.398029	-6.45445	61.1887	-0.117421	-0.0701357	-220.739
8671	0.0688177	1	-0.626308	-0.0819994	60.5618	-0.117828	-0.040724	-220.855
8672	-0.0903607	1	-0.499778	13.6105	60.0614	-0.118122	-0.0294118	-220.971
8673	-0.101698	1	-0.417507	17.1389	59.6433	-0.118529	-0.040724	-221.087
8674	0.00452026	1	-0.149184	17.5713	59.4935	-0.119389	-0.0859728	-221.204
8675	0.0168355	1	-0.148569	5.34375	59.3443	-0.120158	-0.0769231	-221.322
8676	-0.112338	1	-0.16274	2.76416	59.181	-0.12009	0.00678733	-221.44
8677	-0.0979575	1	-0.205486	-7.13545	58.9749	-0.120385	-0.0294118	-221.558
8678	0.0612497	1	-0.337251	-19.495	58.6371	-0.120701	-0.0316742	-221.677
8679	0.0627503	1	-0.479461	-6.29463	58.157	-0.120769	-0.00678733	-221.795
8680	-0.0807009	1	-0.486812	5.04579	57.6697	-0.120385	0.0384615	-221.914
8681	-0.085649	1	-0.472564	9.04221	57.1965	-0.120317	0.00678733	-222.032
8682	0.0402047	1	-0.448243	14.5386	56.7477	-0.12095	-0.0633484	-222.15
8683	0.0712294	1	-0.676009	6.96704	56.0711	-0.120701	0.0248869	-222.269
8684	-0.0627069	1	-0.700651	10.7354	55.3699	-0.120226	0.0475113	-222.387
8685	-0.106478	1	-0.392212	24.0558	54.9771	-0.120068	0.0158371	-222.505
8686	-0.00835261	1	-0.0789455	28.0162	54.8976	-0.120633	-0.0565611	-222.623
8687	0.0212757	1	-0.297372	20.5285	54.5997	-0.120294	0.0339366	-222.741
8688	0.0105328	1	-0.209329	22.6768	54.3899	-0.120271	0.00226244	-222.859
8689	-0.114648	1	-0.243534	18.1891	54.1458	-0.120181	0.00904977	-222.977
8690	-0.114704	1	-0.220013	16.1134	53.9252	-0.120158	0.00226244	-223.095
8691	-0.108305	1	-0.152512	3.11765	53.7722	-0.120181	-0.00226244	-223.213
8692	0.0113721	1	-0.0713952	8.7339	53.7002	-0.120294	-0.0113122	-223.331
8693	0.0144871	1	-0.0345178	1.96614	53.6652	-0.120317	-0.00226244	-223.449
8694	0.00783957	1	0.0289118	2.24237	53.6936	-0.120317	0	-223.567
8695	-0.136777	1	0.150685	1.1986	53.8437	-0.120339	-0.00226244	-223.685
8696	-0.128609	1	0.130699	-5.10117	53.9739	-0.120724	-0.0384615	-223.804
8697	-0.0835949	1	-0.177982	-19.0689	53.7953	-0.120928	-0.020362	-223.923
8698	0.0818465	1	-0.582277	-10.1647	53.2125	-0.121109	-0.0180995	-224.041
8699	0.121115	1	-0.909108	-15.8404	52.3029	-0.120973	0.0135747	-224.16
8700	0.111226	1	-0.884178	-7.56018	51.4182	-0.120136	0.0837104	-224.278
8701	-0.0623618	1	-0.623115	7.2121	50.7946	-0.119502	0.0633484	-224.395
8702	-0.0916279	1	-0.335854	8.08838	50.4582	-0.119525	-0.00226244	-224.513
8703	-0.0910607	1	-0.298102	4.04465	50.1596	-0.12009	-0.0565611	-224.63
8704	0.0687433	1	-0.476679	-4.09108	49.6824	-0.120588	-0.0497737	-224.749
8705	0.0475398	1	-0.200002	-10.3548	49.4819	-0.120385	0.020362	-224.867
8706	0.0203369	1	-0.00472412	-2.67455	49.4767	-0.120023	0.0361991	-224.985
8707	-0.125102	1	0.0937968	-0.514268	49.57	-0.119887	0.0135747	-225.102
8708	-0.118029	1	0.0300912	-1.24599	49.5996	-0.120271	-0.0384615	-225.22
8709	-0.0523654	1	-0.496304	-13.7737	49.1028	-0.120294	-0.00226244	-225.338
8710	0.137566	1	-0.977269	-21.2974	48.125	-0.120317	-0.00226244	-225.456
8711	0.163169	1	-1.26446	-16.9171	46.8601	-0.119932	0.0384615	-225.574
8712	0.169232	1	-1.37006	-11.0488	45.4896	-0.118507	0.142534	-225.69
8713	-0.183373	1	0.426118	28.1795	45.9152	-0.118213	0.0294118	-225.806
8714	-0.241713	1	0.997973	28.3359	46.9127	-0.118552	-0.0339366	-225.923
8715	-0.232506	1	0.823636	35.7402	47.7359	-0.119774	-0.122172	-226.04
8716	0.15592	1	-1.13704	-22.1476	46.5984	-0.119842	-0.00678733	-226.158
8717	0.209398	1	-1.58077	-29.6713	45.0172	-0.119412	0.0429864	-226.275
8718	0.272154	1	-2.3724	-10.891	42.6443	-0.118145	0.126697	-226.391
8719	0.249999	1	-3.77487	21.9533	38.869	-0.117919	0.0226244	-226.506
8720	0.231343	1	-3.67172	33.9656	35.1969	-0.117376	0.0542986	-226.622
8721	0.159943	1	-3.08824	50.1058	32.1083	-0.116652	0.0723982	-226.736
8722	0.236558	1	-2.47209	47.6821	29.6359	-0.116018	0.0633484	-226.85
8723	0.183779	1	-1.91709	46.8782	27.7185	-0.115385	0.0633484	-226.963
8724	0.12422	1	-1.18984	34.9024	26.5284	-0.114864	0.0520362	-227.075
8725	-0.0297444	1	-0.766464	13.9625	25.7616	-0.114457	0.040724	-227.188
8726	-0.0349572	1	-0.52132	-4.81747	25.2401	-0.114389	0.00678733	-227.3
8727	-0.019512	1	-0.575932	-14.2254	24.6639	-0.114525	-0.0135747	-227.412
8728	0.144175	1	-0.813727	-19.9853	23.8499	-0.11457	-0.00452489	-227.524
